2026-06-13 01:04:28 | INFO | __main__ | Pipeline command started | command=weekend-policy-compare
2026-06-13 01:10:49 | INFO | src.backtest.backtest_engine | Execution progress | signal=200/650, trades=147, balance=11597.58
2026-06-13 01:10:53 | INFO | src.backtest.backtest_engine | Execution progress | signal=225/650, trades=164, balance=11964.25
2026-06-13 01:10:58 | INFO | src.backtest.backtest_engine | Execution progress | signal=250/650, trades=184, balance=12220.78
2026-06-13 01:11:02 | INFO | src.backtest.backtest_engine | Execution progress | signal=275/650, trades=201, balance=12521.90
2026-06-13 01:11:06 | INFO | src.backtest.backtest_engine | Execution progress | signal=300/650, trades=218, balance=13129.52
2026-06-13 01:11:12 | INFO | src.backtest.backtest_engine | Execution progress | signal=325/650, trades=233, balance=13225.85
2026-06-13 01:11:17 | INFO | src.backtest.backtest_engine | Execution progress | signal=350/650, trades=249, balance=13398.81
2026-06-13 01:11:20 | INFO | src.backtest.backtest_engine | Execution progress | signal=375/650, trades=267, balance=13526.63
2026-06-13 01:11:25 | INFO | src.backtest.backtest_engine | Execution progress | signal=400/650, trades=281, balance=13774.75
2026-06-13 01:11:29 | INFO | src.backtest.backtest_engine | Execution progress | signal=425/650, trades=294, balance=13868.49
2026-06-13 01:11:34 | INFO | src.backtest.backtest_engine | Execution progress | signal=450/650, trades=315, balance=14150.51
2026-06-13 01:11:40 | INFO | src.backtest.backtest_engine | Execution progress | signal=475/650, trades=334, balance=14378.85
2026-06-13 01:11:46 | INFO | src.backtest.backtest_engine | Execution progress | signal=500/650, trades=352, balance=14819.05
2026-06-13 01:11:52 | INFO | src.backtest.backtest_engine | Execution progress | signal=525/650, trades=365, balance=15098.78
2026-06-13 01:11:56 | INFO | src.backtest.backtest_engine | Execution progress | signal=550/650, trades=385, balance=15096.06
2026-06-13 01:12:00 | INFO | src.backtest.backtest_engine | Execution progress | signal=575/650, trades=402, balance=15616.71
2026-06-13 01:12:02 | INFO | src.backtest.backtest_engine | Execution progress | signal=600/650, trades=420, balance=15860.66
2026-06-13 01:12:04 | INFO | src.backtest.backtest_engine | Execution progress | signal=625/650, trades=434, balance=16142.91
2026-06-13 01:12:06 | INFO | src.backtest.backtest_engine | Execution progress | signal=650/650, trades=450, balance=16509.10
2026-06-13 01:12:06 | INFO | src.backtest.backtest_engine | START write backtest reports | output=/Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/weekend_policy_comparison/20260613_000428_usdjpy_fx_swing_trend_reclaim_v1/force_close_friday_20_30
2026-06-13 01:12:07 | INFO | src.backtest.backtest_engine | DONE write backtest reports | elapsed=0.8s
2026-06-13 01:12:07 | INFO | src.backtest.backtest_engine | Backtest complete | trades=450, ending_balance=16509.10, reports=/Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/weekend_policy_comparison/20260613_000428_usdjpy_fx_swing_trend_reclaim_v1/force_close_friday_20_30
2026-06-13 01:12:07 | INFO | src.backtest.weekend_policy_runner | DONE run weekend variant | elapsed=114.6s
2026-06-13 01:12:07 | INFO | src.backtest.weekend_policy_runner | Weekend variant 5/9 | name=force_close_friday_21_00
2026-06-13 01:12:07 | INFO | src.backtest.weekend_policy_runner | START run weekend variant | variant=force_close_friday_21_00
2026-06-13 01:12:07 | INFO | src.backtest.backtest_engine | START load candles and calculate indicators
2026-06-13 01:12:07 | INFO | src.backtest.backtest_engine | DONE load candles and calculate indicators | elapsed=0.0s
2026-06-13 01:12:07 | INFO | src.backtest.backtest_engine | START generate strategy signals
2026-06-13 01:12:08 | INFO | src.backtest.backtest_engine | DONE generate strategy signals | elapsed=0.4s
2026-06-13 01:12:08 | INFO | src.backtest.backtest_engine | Signals generated | accepted=650, rejected=15,493
2026-06-13 01:12:08 | INFO | src.backtest.backtest_engine | Execution progress | signal=1/650, trades=0, balance=10000.00
2026-06-13 01:12:10 | INFO | src.backtest.backtest_engine | Execution progress | signal=25/650, trades=14, balance=10252.03
2026-06-13 01:12:14 | INFO | src.backtest.backtest_engine | Execution progress | signal=50/650, trades=33, balance=10682.85
2026-06-13 01:12:17 | INFO | src.backtest.backtest_engine | Execution progress | signal=75/650, trades=50, balance=11109.92
2026-06-13 01:12:23 | INFO | src.backtest.backtest_engine | Execution progress | signal=100/650, trades=70, balance=11311.86
2026-06-13 01:12:28 | INFO | src.backtest.backtest_engine | Execution progress | signal=125/650, trades=87, balance=11345.88
2026-06-13 01:12:34 | INFO | src.backtest.backtest_engine | Execution progress | signal=150/650, trades=109, balance=11313.55
2026-06-13 01:12:41 | INFO | src.backtest.backtest_engine | Execution progress | signal=175/650, trades=128, balance=11524.79
2026-06-13 01:12:45 | INFO | src.backtest.backtest_engine | Execution progress | signal=200/650, trades=147, balance=11557.37
2026-06-13 01:12:49 | INFO | src.backtest.backtest_engine | Execution progress | signal=225/650, trades=164, balance=11922.77
2026-06-13 01:12:53 | INFO | src.backtest.backtest_engine | Execution progress | signal=250/650, trades=184, balance=12178.41
2026-06-13 01:12:58 | INFO | src.backtest.backtest_engine | Execution progress | signal=275/650, trades=201, balance=12478.49
2026-06-13 01:13:02 | INFO | src.backtest.backtest_engine | Execution progress | signal=300/650, trades=218, balance=13062.37
2026-06-13 01:13:08 | INFO | src.backtest.backtest_engine | Execution progress | signal=325/650, trades=233, balance=13158.22
2026-06-13 01:13:12 | INFO | src.backtest.backtest_engine | Execution progress | signal=350/650, trades=249, balance=13326.86
2026-06-13 01:13:16 | INFO | src.backtest.backtest_engine | Execution progress | signal=375/650, trades=267, balance=13453.99
2026-06-13 01:13:21 | INFO | src.backtest.backtest_engine | Execution progress | signal=400/650, trades=281, balance=13713.42
2026-06-13 01:13:25 | INFO | src.backtest.backtest_engine | Execution progress | signal=425/650, trades=294, balance=13811.30
2026-06-13 01:13:30 | INFO | src.backtest.backtest_engine | Execution progress | signal=450/650, trades=315, balance=14090.39
2026-06-13 01:13:36 | INFO | src.backtest.backtest_engine | Execution progress | signal=475/650, trades=334, balance=14317.76
2026-06-13 01:13:41 | INFO | src.backtest.backtest_engine | Execution progress | signal=500/650, trades=352, balance=14756.09
2026-06-13 01:13:47 | INFO | src.backtest.backtest_engine | Execution progress | signal=525/650, trades=365, balance=15026.52
2026-06-13 01:13:51 | INFO | src.backtest.backtest_engine | Execution progress | signal=550/650, trades=385, balance=15023.81
2026-06-13 01:13:54 | INFO | src.backtest.backtest_engine | Execution progress | signal=575/650, trades=402, balance=15541.98
2026-06-13 01:13:57 | INFO | src.backtest.backtest_engine | Execution progress | signal=600/650, trades=420, balance=15784.76
2026-06-13 01:13:59 | INFO | src.backtest.backtest_engine | Execution progress | signal=625/650, trades=434, balance=16047.15
2026-06-13 01:14:01 | INFO | src.backtest.backtest_engine | Execution progress | signal=650/650, trades=450, balance=16411.17
2026-06-13 01:14:01 | INFO | src.backtest.backtest_engine | START write backtest reports | output=/Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/weekend_policy_comparison/20260613_000428_usdjpy_fx_swing_trend_reclaim_v1/force_close_friday_21_00
2026-06-13 01:14:02 | INFO | src.backtest.backtest_engine | DONE write backtest reports | elapsed=0.8s
2026-06-13 01:14:02 | INFO | src.backtest.backtest_engine | Backtest complete | trades=450, ending_balance=16411.17, reports=/Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/weekend_policy_comparison/20260613_000428_usdjpy_fx_swing_trend_reclaim_v1/force_close_friday_21_00
2026-06-13 01:14:02 | INFO | src.backtest.weekend_policy_runner | DONE run weekend variant | elapsed=114.7s
2026-06-13 01:14:02 | INFO | src.backtest.weekend_policy_runner | Weekend variant 6/9 | name=close_losing_trades_friday_20_30
2026-06-13 01:14:02 | INFO | src.backtest.weekend_policy_runner | START run weekend variant | variant=close_losing_trades_friday_20_30
2026-06-13 01:14:02 | INFO | src.backtest.backtest_engine | START load candles and calculate indicators
2026-06-13 01:14:02 | INFO | src.backtest.backtest_engine | DONE load candles and calculate indicators | elapsed=0.0s
2026-06-13 01:14:02 | INFO | src.backtest.backtest_engine | START generate strategy signals
2026-06-13 01:14:02 | INFO | src.backtest.backtest_engine | DONE generate strategy signals | elapsed=0.4s
2026-06-13 01:14:02 | INFO | src.backtest.backtest_engine | Signals generated | accepted=650, rejected=15,493
2026-06-13 01:14:02 | INFO | src.backtest.backtest_engine | Execution progress | signal=1/650, trades=0, balance=10000.00
2026-06-13 01:14:05 | INFO | src.backtest.backtest_engine | Execution progress | signal=25/650, trades=14, balance=10252.03
2026-06-13 01:14:09 | INFO | src.backtest.backtest_engine | Execution progress | signal=50/650, trades=33, balance=10693.10
2026-06-13 01:14:12 | INFO | src.backtest.backtest_engine | Execution progress | signal=75/650, trades=50, balance=11120.57
2026-06-13 01:14:17 | INFO | src.backtest.backtest_engine | Execution progress | signal=100/650, trades=70, balance=11322.71
2026-06-13 01:14:23 | INFO | src.backtest.backtest_engine | Execution progress | signal=125/650, trades=87, balance=11356.77
2026-06-13 01:14:28 | INFO | src.backtest.backtest_engine | Execution progress | signal=150/650, trades=109, balance=11330.81
2026-06-13 01:14:36 | INFO | src.backtest.backtest_engine | Execution progress | signal=175/650, trades=128, balance=11542.37
2026-06-13 01:14:39 | INFO | src.backtest.backtest_engine | Execution progress | signal=200/650, trades=147, balance=11579.90
2026-06-13 01:14:44 | INFO | src.backtest.backtest_engine | Execution progress | signal=225/650, trades=164, balance=11946.02
2026-06-13 01:14:48 | INFO | src.backtest.backtest_engine | Execution progress | signal=250/650, trades=184, balance=12202.15
