event_id,event_time_utc,country,currency,event_name,impact,actual,forecast,previous,source
2022-02-11-usd-cleveland-cpi-77b6f09f,2022-02-11T12:00:00Z,United States,USD,Cleveland CPI,HIGH,0.6%,,0.4%,nasdaq_economic_calendar
2022-02-15-usd-fomc-member-bullard-speaks-c2082a07,2022-02-15T12:00:00Z,United States,USD,FOMC Member Bullard Speaks,HIGH,,,,nasdaq_economic_calendar
2022-02-15-jpy-gdp-738817e2,2022-02-15T19:50:00Z,Japan,JPY,GDP,HIGH,1.3%,1.4%,-0.9%,nasdaq_economic_calendar
2022-02-15-jpy-gdp-capital-expenditure-bab1083d,2022-02-15T19:50:00Z,Japan,JPY,GDP Capital Expenditure,HIGH,0.4%,0.5%,-2.3%,nasdaq_economic_calendar
2022-02-15-jpy-gdp-external-demand-cbe65cd8,2022-02-15T19:50:00Z,Japan,JPY,GDP External Demand,HIGH,0.2%,0.3%,0.0%,nasdaq_economic_calendar
2022-02-15-jpy-gdp-private-consumption-2d510b22,2022-02-15T19:50:00Z,Japan,JPY,GDP Private Consumption,HIGH,2.7%,2.2%,-1.3%,nasdaq_economic_calendar
2022-02-16-jpy-industrial-production-496fed3b,2022-02-16T00:30:00Z,Japan,JPY,Industrial Production,HIGH,-1.0%,,-1.0%,nasdaq_economic_calendar
2022-02-16-usd-core-ppi-9f477c15,2022-02-16T09:30:00Z,United States,USD,Core PPI,HIGH,0.8%,0.5%,0.6%,nasdaq_economic_calendar
2022-02-16-usd-ppi-0b6ef790,2022-02-16T09:30:00Z,United States,USD,PPI,HIGH,1.0%,0.5%,0.4%,nasdaq_economic_calendar
2022-02-16-jpy-reuters-tankan-index-c7ad76ee,2022-02-16T19:00:00Z,Japan,JPY,Reuters Tankan Index,HIGH,6,,17,nasdaq_economic_calendar
2022-02-17-usd-core-retail-sales-2a5eabf3,2022-02-17T09:30:00Z,United States,USD,Core Retail Sales,HIGH,3.3%,0.8%,-2.8%,nasdaq_economic_calendar
2022-02-17-usd-retail-sales-c1cc5b97,2022-02-17T09:30:00Z,United States,USD,Retail Sales,HIGH,3.8%,2.0%,-2.5%,nasdaq_economic_calendar
2022-02-17-usd-retail-sales-ex-gas-autos-7d385e93,2022-02-17T09:30:00Z,United States,USD,Retail Sales Ex Gas/Autos,HIGH,3.8%,,-3.2%,nasdaq_economic_calendar
2022-02-17-usd-industrial-production-cf6fa315,2022-02-17T10:15:00Z,United States,USD,Industrial Production,HIGH,1.4%,0.4%,-0.1%,nasdaq_economic_calendar
2022-02-17-usd-fomc-member-kashkari-speaks-21054779,2022-02-17T11:00:00Z,United States,USD,FOMC Member Kashkari Speaks,HIGH,,,,nasdaq_economic_calendar
2022-02-17-usd-fomc-meeting-minutes-0a77d5a1,2022-02-17T15:00:00Z,United States,USD,FOMC Meeting Minutes,HIGH,,,,nasdaq_economic_calendar
2022-02-17-jpy-adjusted-trade-balance-2911ae67,2022-02-17T19:50:00Z,Japan,JPY,Adjusted Trade Balance,HIGH,-0.93T,,-0.55T,nasdaq_economic_calendar
2022-02-17-jpy-trade-balance-a9e47c73,2022-02-17T19:50:00Z,Japan,JPY,Trade Balance,HIGH,"-2,191.1B","-1,607.0B",-583.3B,nasdaq_economic_calendar
2022-02-18-usd-fomc-member-bullard-speaks-b84255fe,2022-02-18T12:00:00Z,United States,USD,FOMC Member Bullard Speaks,HIGH,,,,nasdaq_economic_calendar
2022-02-18-usd-fomc-member-mester-speaks-3f3420f6,2022-02-18T18:00:00Z,United States,USD,FOMC Member Mester Speaks,HIGH,,,,nasdaq_economic_calendar
2022-02-18-jpy-cpi-n-s-a-0023869d,2022-02-18T19:30:00Z,Japan,JPY,"CPI, n.s.a",HIGH,0.3%,,0.2%,nasdaq_economic_calendar
2022-02-18-jpy-national-cpi-cfa2cc81,2022-02-18T19:30:00Z,Japan,JPY,National CPI,HIGH,0.5%,,0.8%,nasdaq_economic_calendar
2022-02-18-jpy-national-core-cpi-6c5bcabe,2022-02-18T19:30:00Z,Japan,JPY,National Core CPI,HIGH,0.2%,0.3%,0.5%,nasdaq_economic_calendar
2022-02-19-usd-fomc-member-williams-speaks-dda23b07,2022-02-19T12:00:00Z,United States,USD,FOMC Member Williams Speaks,HIGH,,,,nasdaq_economic_calendar
2022-02-19-usd-fomc-member-brainard-speaks-836fac3c,2022-02-19T14:30:00Z,United States,USD,FOMC Member Brainard Speaks,HIGH,,,,nasdaq_economic_calendar
